영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,임대,롯데쇼핑(주)롯데슈퍼 교문점,기타식품판매업,,211732.000146084,454218.547394414,2026-04-22 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-21 16:39:15,2007-06-08,,471-020,경기도 구리시 교문동 808,N,,3980000-114-2007-00001,,3980000,경기도 구리시 장자대로37번길 55 (교문동),11938,01,영업/정상,기타식품판매업,031-556-9700,,,
,자가,롯데쇼핑(주)롯데마트마석점,기타식품판매업,,227234.544976879,460930.696005881,2026-04-22 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-21 17:30:47,2010-11-18,"12,339.80",472-845,경기도 남양주시 화도읍 마석우리 255-24 외3필지 롯데마트마석점,N,,3990000-114-2010-00009,,3990000,경기도 남양주시 화도읍 경춘로 1992 (롯데마트마석점),12181,01,영업/정상,기타식품판매업,031-590-1501,,,상수도전용
,임대,롯데쇼핑(주)롯데슈퍼 김포전원점,기타식품판매업,,171813.68118138,460422.61361795,2026-04-22 03:03:03,U,01,영업,339.59,0,0,0,,,,0,,2026-04-21 11:45:24,2014-07-29,339.59,415-060,경기도 김포시 장기동 1992-1 107호~114호,N,,4090000-114-2014-00008,,4090000,경기도 김포시 김포한강11로 133 (장기동),,01,영업/정상,기타식품판매업,031-985-6284,,,
