사업장명,업태보관및창고업,업태제조업,업태판매업,업태운송및택배업,폐업일자,법인여부명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,직원수,시설/장비현황,냉동냉장창고면적,냉동냉장창고동수,일반창고면적,일반창고동수,보관장소면적,보관요율,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
주식회사 딜리셔스,1,,,,,법인,218420.040298429,465558.581459013,2026-04-22 03:03:03,U,01,영업중,35,"경량랙, 자동포장기",0,0,1996,2,0,,2026-04-21 14:34:59,2026-04-09,,"경기도 남양주시 오남읍 오남리 707 ,708",2026399047732500002,3990000,경기도 남양주시 오남읍 진건오남로667번길 64-32,12041,,01,영업/정상,,,02-1661-1916
(주)에스피씨지에프에스,,,,,,법인,285928.188554942,433490.309857545,2026-04-22 03:03:03,U,01,영업중,31,"분류장비, DAS",0,0,1212.25,1,0,,2026-04-21 16:06:15,2017-09-10,,강원특별자치도 원주시 소초면 장양리 484번지 1호,2017419027832500002,4191000,강원특별자치도 원주시 소초면 수래울길 5,26308,,01,영업/정상,,,033-747-7939
에이스물류,1,,,,,개인,286641.079826109,437627.181686806,2026-04-22 03:03:03,U,01,영업중,5,파렛트 선별 시스템 및 세척기,0,0,2491.7,1,0,,2026-04-21 14:01:16,2025-10-28,,강원특별자치도 원주시 소초면 의관리 56,2025419111332500002,4191000,강원특별자치도 원주시 소초면 북원로 3366,26304,,01,영업/정상,,,
