건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,아르포나,,212336.563556389,455798.1200613,,,2026-04-28 21:07:31,I,13,영업중,,,,,2026-04-27 13:47:56,,2026-04-27,,경기도 구리시 인창동 ***-* 화성골드프라자,CDFF3241092026000003,3980000,,"경기도 구리시 건원대로 **, 화성골드프라자 ***호 (인창동)",11921,01,영업/정상,,,,,,
,디 모델 매니지먼트,,209427.410217251,445829.725943441,,,2026-04-28 03:03:03,U,13,영업중,,,,,2026-04-27 09:45:47,,2019-03-27,,서울특별시 송파구 방이동 **-* 잠실리시온,CDFF3241092026000008,3230000,,"서울특별시 송파구 오금로 **, 잠실리시온 ****호 (방이동)",05542,01,영업/정상,,,,,,
,주식회사 디,,209427.410217251,445829.725943441,,,2026-04-28 03:03:03,U,13,영업중,,,,,2026-04-27 09:46:07,,2022-11-10,,서울특별시 송파구 방이동 **-* 잠실리시온,CDFF3241092026000009,3230000,,"서울특별시 송파구 오금로 **, 잠실리시온 ****호 (방이동)",05542,01,영업/정상,,,,,,
,주식회사 켄버스,2026-04-27,193152.62383534,450523.47124017,유통관련업,대중문화예술기획업,2026-04-28 03:03:03,U,15,전출,"컨텐츠제작, 매니지먼트",,,,2026-04-27 16:50:31,,2023-03-24,,서울특별시 마포구 동교동 ***-* 케이스퀘어,CDFF3241092023000020,3130000,,"서울특별시 마포구 양화로 ***, 케이스퀘어 ***호 (동교동)",03995,05,제외/삭제/전출,,,,,,
,주식회사 와이예스엔터테인먼트,2026-04-27,192783.300511587,450405.337440688,유통관련업,대중문화예술기획업,2026-04-28 03:03:03,U,15,전출,매니지먼트업,,,,2026-04-27 16:51:16,,2023-06-14,,서울특별시 마포구 서교동 ***-** 일송빌딩,CDFF3241092023000034,3130000,,"서울특별시 마포구 동교로 ***, 일송빌딩 *층 (서교동)",04001,05,제외/삭제/전출,,,,,,
