건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
1,12457,런던무도장,2011-08-16,,191908.118795329,446086.819081927,무도장업,2026-04-28 22:30:13,I,03,폐업,,2011-08-17 10:23:25,,2011-05-24,150-031,,서울특별시 영등포구 영등포동1가 143-3 지하1층,,CDFH3301102011000001,3180000,사립,"서울특별시 영등포구 경인로 870  (영등포동1가,지하1층)",,03,폐업,,,
0,0,남태령,2000-09-06,,198209.153690741,441502.542951079,무도장업,2026-04-28 22:30:59,I,03,폐업,,2003-02-06 10:45:13,,1998-03-04,151-800,0,서울특별시 관악구 남현동 1062-15,,CDFH3301101998000001,3200000,사립,서울특별시 관악구 남현1길 58  (남현동),,03,폐업,,,
0,0,공단,2000-08-28,,191376.602183978,442456.748277117,무도장업,2026-04-28 22:30:59,I,03,폐업,,2003-02-06 10:45:13,,1998-10-17,151-902,0,서울특별시 관악구 신림동 1643,,CDFH3301101998000002,3200000,사립,서울특별시 관악구 시흥대로 578  (신림동),,03,폐업,,,
0,0,한일무도장,1999-09-15,,195316.776419547,440705.811600324,무도장업,2026-04-28 22:30:59,I,03,폐업,,2003-02-06 10:45:13,,1999-02-12,151-856,0,서울특별시 관악구 신림동 144-10,,CDFH3301101999000001,3200000,사립,,,03,폐업,,,
,,2002무도장,2008-12-22,,195588.796492288,442098.372819317,무도장업,2026-04-28 22:30:59,I,03,폐업,0,2008-12-22 14:52:23,,2000-02-19,151-836,,서울특별시 관악구 봉천동 869-10,,CDFH3301102000000001,3200000,사립,서울특별시 관악구 남부순환로 1808  (봉천동),,03,폐업,,,
,,스타무도장,2022-09-15,,195647.366393622,442105.342411703,무도장업,2026-04-28 22:30:59,I,03,폐업,Y,2022-09-15 17:04:50,,2020-06-10,,,서울특별시 관악구 봉천동 869-12,,CDFH3301102020000001,3200000,사립,"서울특별시 관악구 남부순환로 1812-2, 지하2층 (봉천동)",08787,03,폐업,,,02-888-7400
