사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
도담동물의료센터,,,,2026-04-28 03:03:03,U,0000,정상,2026-04-27 11:57:27,,2026-04-15,131,,인천광역시 서구 불로동 1006-13,356000001020260003,3560000,000,"인천광역시 서구 고산후로 216, 2층 208~210호 (불로동)",22888,,01,영업/정상,,,
한마음동물병원,,,,2026-04-28 22:32:12,I,0002,폐업,2017-12-29 15:13:03,,2003-11-04,0,,인천광역시 서구 마전동 검단1지구 45블록 1롯트 이지프라자 112호,356000001020030003,3560000,000,,,,03,폐업,,,
검단종합동물병원,,,,2026-04-28 22:32:12,I,0002,폐업,2017-07-11 09:04:39,,2005-10-18,58.8,,인천광역시 서구 마전동 582-33 1층,356000001020050002,3560000,000,,,,03,폐업,,,032-563-8579
삼성종합동물병원,,170940.84012012,444191.01947886,2026-04-28 22:32:12,I,0002,폐업,2018-06-07 11:29:02,,2006-02-21,116.3,,인천광역시 서구 석남동 579-3,356000001020060001,3560000,L00,인천광역시 서구 건지로 269 (석남동),,,03,폐업,,,032-573-0079
쿨펫동물병원(가좌점),,170813.26483128,443985.945396357,2026-04-28 22:32:15,I,0002,폐업,2022-01-06 10:59:06,,2021-12-27,0,,인천광역시 서구 가좌동 118 홈플러스 가좌점,356000001020170006,3560000,000,인천광역시 서구 가정로151번길 11 (가좌동),22832,,03,폐업,,,
베테랑 동물병원(청라지점),,167265.754629528,447961.230210056,2026-04-28 22:32:15,I,0002,폐업,2021-10-20 09:53:50,,2021-03-02,81.3,,인천광역시 서구 청라동 96-7 청라레이크봄,356000001020210001,3560000,000,"인천광역시 서구 청라한내로100번길 8-28, 청라레이크봄 1층 123, 124호 (청라동)",22758,,03,폐업,,,
서해동물의료센터,,171088.815935302,451311.757117345,2026-04-28 22:32:19,I,0000,정상,2026-02-24 08:52:05,,2026-02-20,170,,인천광역시 서구 검암동 627-1 205호,356000001020260001,3560000,000,"인천광역시 서구 승학로 470, 2층 205호 (검암동)",22696,,01,영업/정상,,,032-710-3412
24시 동대문 루시드 동물메디컬센터,,204958.890769622,451983.572742918,2026-04-28 03:03:03,U,0000,정상,2026-04-27 15:32:35,,2022-04-26,,,서울특별시 동대문구 답십리동 259-22,305000001020220001,3050000,000,"서울특별시 동대문구 전농로 57-1, 1층,2층,지하1층 동대문 루시드 동물메디컬센터 (답십리동)",02600,,01,영업/정상,,,02-6217-0202
쉼터동물병원,,169646.050126393,457341.243800072,2026-04-28 22:32:19,I,0000,정상,2026-04-13 16:43:32,,2026-04-13,200,,인천광역시 서구 마전동 36-4,356000001020260002,3560000,000,인천광역시 서구 가현산로23번길 36 (마전동),22603,,01,영업/정상,,,
