영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
기타,,현대자동차(주)동부하이테크센터,산업체,,205086.016484877,449380.694222497,2026-04-28 03:03:03,U,01,영업,145.15,,,,0,기타,,,,2026-04-27 14:28:53,1989-09-01,145.15,133-832,서울특별시 성동구 성수동2가 277-15 현대자동차써비스(주)동부사업소,N,0,3030000-105-1989-00019,,3030000,"서울특별시 성동구 성수이로 134, 현대자동차써비스(주)동부사업소 5층 (성수동2가)",04796,01,영업/정상,산업체,02-3408-8110,,,상수도전용
,,가산 R&D Campus,산업체,,189773.53836329,440940.376102266,2026-04-28 03:03:03,U,01,영업,3793.33,,,,,,,,,2026-04-27 17:03:51,2007-08-30,"3,793.33",153-802,서울특별시 금천구 가산동 327-23 LG전자 가산 R&D 캠퍼스,N,,3170000-105-2007-00014,,3170000,"서울특별시 금천구 가산디지털1로 51, LG전자 가산 R&D 캠퍼스 지하1층 (가산동)",08592,01,영업/정상,산업체,69151031,,,상수도전용
,,롯데쇼핑(주)롯데마트검단점,산업체,,170301.890390416,454745.482573844,2026-04-28 03:03:03,U,01,영업,70,,,,,,0,4,,2026-04-27 16:38:48,2009-12-21,264.00,404-260,인천광역시 서구 마전동 1031-1 롯데마트,N,,3560000-105-2009-00056,0,3560000,"인천광역시 서구 원당대로 581, 롯데마트 (마전동)",22637,01,영업/정상,산업체,032-560-2500,,,상수도전용
