번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,휴게실면적,사무실면적,탈의실면적,회원모집총인원,세부업종명,법인명,
2,체력단련장업,10_42_01_P,3120000,CDFH3301062026000003,2026-03-27,,01,영업/정상,13,영업중,,,,,,247.19,,서울특별시 서대문구 홍제동 274-22,"서울특별시 서대문구 세검정로 72, 2층 (홍제동)",03622,독립문체육관,2026-03-27 16:22:37,I,2026-03-29 00:20:01,,195361.316894641,454629.55287535,체력단련장업,사립,,1,1,1221.42,0,0,0,0,,,
4,체력단련장업,10_42_01_P,3220000,CDFH3301062026000011,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 청담동 42-1,"서울특별시 강남구 선릉로132길 28, 2층 (청담동)",06069,피티가이드 재활PT Pilates,2026-03-27 17:07:03,I,2026-03-29 00:20:01,,203767.710946096,446223.552394489,체력단련장업,사립,,0,0,0,0,0,0,0,,,
5,체력단련장업,10_42_01_P,4010000,CDFH3301062026000004,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,경기도 시흥시 배곧동 193-3 새롬프라자2,"경기도 시흥시 서울대학로278번길 21, 502,503호 (배곧동)",15011,F45배곧,2026-03-27 12:58:16,I,2026-03-29 00:20:01,,175839.546983131,429749.989150418,체력단련장업,사립,,1,0,0,0,0,0,0,,,
8,체력단련장업,10_42_01_P,3780000,CDFH3301062024000010,2024-04-09,,01,영업/정상,13,영업중,,,,,,200,,경기도 성남시 수정구 신흥동 923-1 용인빌딩,"경기도 성남시 수정구 수정로 290, 용인빌딩 4층 401호 (신흥동)",13262,끌림 재활PT&필라테스,2026-03-27 09:21:56,U,2026-03-29 02:40:00,,212940.515291977,438689.554620444,체력단련장업,사립,,1,1,2859.29,0,0,0,0,,,
14,체력단련장업,10_42_01_P,3820000,CDFH3301062024000008,2024-05-31,,01,영업/정상,13,영업중,,,,,,100,,경기도 의정부시 의정부동 214-106,"경기도 의정부시 태평로133번길 20, 지하1층 (의정부동)",11689,프리원핏 의정부점,2026-03-27 14:18:33,U,2026-03-29 02:40:00,,204338.430304967,471320.383782395,체력단련장업,사립,,1,0,0,0,0,0,0,,,
15,체력단련장업,10_42_01_P,3780000,CDFH3301062025000003,2025-01-13,,01,영업/정상,13,영업중,,,,,,94.33,,경기도 성남시 분당구 판교동 495 훼미리프라자,"경기도 성남시 분당구 서판교로 164, 훼미리프라자 402호 (판교동)",13473,원프로짐PT서판교점,2026-03-27 09:25:50,U,2026-03-29 02:40:00,,208300.162293634,433170.786264415,체력단련장업,사립,,1,0,0,0,0,0,0,,,
