사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,직원수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,허가기간시작일자,허가기간종료일자,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
가나수도공사,,,,2026-05-23 21:22:10,I,11,정상,,2026-05-22 17:00:12,,2026-05-22,,강원특별자치도 홍천군 홍천읍 검율리 산 *-**,425100016202600002,4251000,2026-05-22,2028-05-21,강원특별자치도 홍천군 홍천읍 당뿌리길 ***,,,01,영업/정상,,,033-436-0482
(주)태솔,,276832.540314692,464298.054737707,2026-05-23 21:22:10,I,11,정상,,2026-05-22 17:12:21,,2026-05-22,,강원특별자치도 홍천군 홍천읍 연봉리 ***-**,425100016202600003,4251000,2026-05-22,2028-05-21,강원특별자치도 홍천군 홍천읍 열산골길 **,,,01,영업/정상,,,033-433-5153
