영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,(주)얼음땡,식품소분업,2026-05-22,190671.436719919,442219.137493629,2026-05-23 03:03:03,U,02,폐업,0,,,,,,,,,2026-05-22 16:13:21,2024-04-23,35.00,152-848,서울특별시 구로구 구로동 222-12 마리오타워,N,,3160000-109-2024-00004,,3160000,"서울특별시 구로구 디지털로30길 28, 마리오타워 1310호 (구로동)",08389,03,폐업,식품소분업,,,,
,,따봉식품,식품소분업,2026-05-22,191545.050373675,453244.229758597,2026-05-23 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-05-22 10:36:32,2001-04-16,16.20,122-937,"서울특별시 은평구 증산동 184-9 다10.11, 다12.13",N,,3110000-109-2001-00007,,3110000,"서울특별시 은평구 증산로3길 12 (증산동,다10.11, 다12.13)",03500,03,폐업,식품소분업,02-373-3069,,,
,,주식회사 도우어에프앤비,식품소분업,2026-05-22,215616.728507224,437163.921081844,2026-05-23 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-05-22 15:49:08,2024-11-19,38.88,462-714,경기도 성남시 중원구 상대원동 223-12 현대아이밸리,N,,3780000-109-2024-00014,,3780000,"경기도 성남시 중원구 갈마치로244번길 31, 현대아이밸리 1층 101호 일부 (상대원동)",13212,03,폐업,식품소분업,,,,
,자가,육회야문연어광명하안점,식품소분업,2026-05-22,188678.457361028,439744.245158356,2026-05-23 03:03:03,U,02,폐업,10,0,0,0,,,,0,,2026-05-22 13:58:21,2026-01-29,10.00,423-844,경기도 광명시 하안동 601-19,N,,3900000-109-2026-00003,,3900000,"경기도 광명시 안재로10번길 9, 1층 102호 일부호 (하안동)",14259,03,폐업,식품소분업,,,,
,자가,아빠의 과수원,식품소분업,2026-05-22,216751.278017278,451538.401273551,2026-05-23 03:03:03,U,02,폐업,0,,,,,,,,,2026-05-22 16:49:01,2024-11-04,9.00,465-150,경기도 하남시 망월동 1089 성산타워플러스,N,,4040000-109-2024-00029,,4040000,"경기도 하남시 미사강변중앙로204번길 45, 성산타워플러스 3층 305호 일부호 (망월동)",12913,03,폐업,식품소분업,,,,
,임대,더타틀르팩토리,식품소분업,,169670.138842671,461259.108070437,2026-05-23 03:03:03,U,01,영업,0,,,,,,,,,2026-05-22 10:13:04,2025-04-01,4.74,415-824,경기도 김포시 양촌읍 석모리 242-8 가동,N,,4090000-109-2025-00004,,4090000,"경기도 김포시 양촌읍 모산로13번길 44, 가동",10064,01,영업/정상,식품소분업,,,,상수도전용
