영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,시흥노인전문요양원,위탁급식영업,,183330.199662767,429662.426283644,2026-05-23 03:03:03,U,01,영업,19.53,,,,,,,,,2026-05-22 10:23:11,2023-08-02,19.53,429-240,경기도 시흥시 능곡동 758 현대프라자,N,,4010000-120-2023-00019,,4010000,"경기도 시흥시 승지로60번길 17, 현대프라자 5층 (능곡동)",14995,01,영업/정상,위탁급식영업,,,,
,,아라마크(주) 홈플러스중계점,위탁급식영업,2026-05-22,205985.953324881,459730.43776924,2026-05-23 03:03:03,U,02,폐업,220.18,,,,,,,,,2026-05-22 13:12:43,2025-01-02,220.18,139-926,서울특별시 노원구 중계동 509-2 홈플러스,N,,3100000-120-2025-00001,,3100000,"서울특별시 노원구 동일로204가길 12, 홈플러스 직원식당 지하3층 (중계동)",01783,03,폐업,위탁급식영업,02-3278-8000,,,
,,아라마크(주)홈플러스 포천송우점,위탁급식영업,2026-05-22,212370.178657853,480201.182904,2026-05-23 03:03:03,U,02,폐업,138.96,,,,,,,,,2026-05-22 17:10:36,2025-01-02,138.96,487-823,경기도 포천시 소흘읍 송우리 730-60 홈플러스 3층,N,,5600000-120-2025-00001,,5600000,"경기도 포천시 소흘읍 솔모루로 9, 홈플러스 3층",11180,03,폐업,위탁급식영업,02-3278-8000,,,
