건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,관광숙박업상세명,지하층수,선박척수,선박제원,선박총톤수
,,D-HAUS HOSTEL,,,,200322.997409412,451340.451459806,,관광숙박업,2026-05-23 03:03:03,U,13,영업중,,,,384.34,384,,25,,,,2026-05-22 14:36:01,,2026-04-14,,서울특별시 중구 쌍림동 22-13,CDFI2260032026000027,3010000,,"서울특별시 중구 퇴계로53길 6-19, 지상3층~지상6층 (쌍림동)",04560,01,영업/정상,,,,,,,,,호스텔업,,,,
,,레이어 남산 7,,,,199988.470100604,451201.067051099,,관광숙박업,2026-05-23 22:38:41,I,13,영업중,,,,59.25,59,,2,,,,2026-05-22 14:37:40,,2026-05-22,,서울특별시 중구 충무로5가 8-16 지상7층,CDFI2260032026000034,3010000,,"서울특별시 중구 퇴계로49길 6, 지상7층 (충무로5가)",04559,01,영업/정상,,,,,,,,,호스텔업,,,,
,,레이어 남산 5,,,,199988.470100604,451201.067051099,,관광숙박업,2026-05-23 22:38:41,I,13,영업중,,,,59.25,59,,3,,,,2026-05-22 14:38:17,,2026-05-22,,서울특별시 중구 충무로5가 8-16 지상5층,CDFI2260032026000035,3010000,,"서울특별시 중구 퇴계로49길 6, 지상5층 (충무로5가)",04559,01,영업/정상,,,,,,,,,호스텔업,,,,
,,호텔 블리스 I,,,990000000,198507.482446178,450809.495455808,,관광숙박업,2026-05-23 03:03:03,U,13,영업중,TOURIST HOTEL,HOTEL BLISS I,,1047.78,1048,6,30,,,,2026-05-22 14:34:49,,2026-03-27,,서울특별시 중구 회현동3가 8,CDFI2260032026000023,3010000,일반주거지역,서울특별시 중구 퇴계로16길 38 (회현동3가),04631,01,영업/정상,,,,,,,02-752-2300,,관광호텔업,2,,,
