사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상시설위치,시설명건물명,시설구분명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,해제일자,도로명주소,도로명우편번호,영업상태구분코드,영업상태명
임광아파트(관리소장),,193491.728786052,451436.40926898,2026-04-26 22:31:36,I,18,사용중,서울특별시 서대문구 연희동 738번지,임광아파트(관리소장),공공용시설,2025-12-31 11:59:38,,1996-03-25,100,서울특별시 서대문구 연희동 738번지,3120000-E199600001,3120000,,"서울특별시 서대문구 동교로 291 (연희동, 연희동임광아파트)",03716,01,영업/정상
태영으뜸아파트,,195226.922673727,454593.887808749,2026-04-26 22:31:37,I,18,사용중,서울특별시 서대문구 홍제동 373번지,태영으뜸아파트,정부지원시설,2025-12-31 17:13:07,,1997-12-27,165,서울특별시 서대문구 홍제동 373번지,3120000-E199700001,3120000,,"서울특별시 서대문구 세검정로3길 63 (홍제동, 태영으뜸아파트)",03623,01,영업/정상
추계초등학교,,195806.732723093,451160.409173293,2026-04-26 22:31:37,I,18,사용중,서울특별시 서대문구 북아현동 190번지 1호,추계초등학교,공공용시설,2025-07-29 16:25:03,,2000-10-31,144,서울특별시 서대문구 북아현동 190번지 1호,3120000-E200000004,3120000,,"서울특별시 서대문구 북아현로11가길 7 (북아현동, 추계초등학교)",03762,01,영업/정상
그랜드힐튼호텔(주차장),,194211.997213753,454098.970268002,2026-04-26 22:31:37,I,18,사용중,서울특별시 서대문구 홍은동 201번지 1호,그랜드힐튼호텔(주차장),공공용시설,2025-12-31 13:54:25,,2002-01-01,300,서울특별시 서대문구 홍은동 201번지 1호,3120000-E200200001,3120000,,"서울특별시 서대문구 연희로 353 (홍은동, 그랜드힐튼호텔)",03650,01,영업/정상
신우주유소,,193447.061786569,453332.086866044,2026-04-26 22:31:37,I,18,사용중,서울특별시 서대문구 홍은동 379번지 6호,신우주유소,공공용시설,2025-12-31 10:50:24,,2004-05-25,72,서울특별시 서대문구 홍은동 379번지 6호,3120000-E200400002,3120000,,"서울특별시 서대문구 가좌로 106 (홍은동, 신우주유소)",03659,01,영업/정상
연일가스산업(주),,191658.428464659,452377.751892338,2026-04-26 22:31:37,I,18,사용중,서울특별시 서대문구 북가좌동 392번지 27호,연일가스산업(주),공공용시설,2025-12-31 10:51:20,,2005-10-31,57,서울특별시 서대문구 북가좌동 392번지 27호,3120000-E200500001,3120000,,"서울특별시 서대문구 수색로 123 (북가좌동, 연일가스주유소)",03715,01,영업/정상
봉원사(종무소),,195256.447894793,452190.050767159,2026-04-26 22:31:36,I,18,사용중,서울특별시 서대문구 봉원동 23번지,봉원사(종무소),공공용시설,2025-12-31 11:58:27,,2005-11-10,79,서울특별시 서대문구 봉원동 23번지,3120000-E200500003,3120000,,서울특별시 서대문구 봉원사길 117 (봉원동),03721,01,영업/정상
연희팰리스빌아파트,,194460.258457732,452616.348704254,2026-04-26 22:31:36,I,18,사용중,서울특별시 서대문구 연희동 742번지,연희팰리스빌아파트,정부지원시설,2025-12-31 17:17:20,,2006-05-10,152,서울특별시 서대문구 연희동 742번지,3120000-E200600001,3120000,,"서울특별시 서대문구 연희로28길 35-28 (연희동, 성원상떼빌팰리스아파트)",03719,01,영업/정상
봉원사주차장(약수터),,195256.447894793,452190.050767159,2026-04-26 22:31:36,I,18,사용중,서울특별시 서대문구 봉원동 23번지,봉원사주차장(약수터),정부지원시설,2026-01-13 17:31:32,,2009-07-06,100,서울특별시 서대문구 봉원동 23번지,3120000-E200900001,3120000,,서울특별시 서대문구 봉원사길 117 (봉원동),03721,01,영업/정상
태창사우나,,194509.296532923,453448.051702994,2026-04-26 22:31:37,I,18,사용중,서울특별시 서대문구 연희동 1번지 10호,태창사우나,공공용시설,2025-07-29 16:23:42,,2012-08-01,65,서울특별시 서대문구 연희동 1번지 10호,3120000-E201200001,3120000,,"서울특별시 서대문구 모래내로 386 (연희동, 태창 훼미리 아파트)",03717,01,영업/정상
브라운스톤(연희),,193762.64108662,451445.274814853,2026-04-26 22:31:36,I,18,사용중,서울특별시 서대문구 연희동 194번지 30호,브라운스톤(연희),공공용시설,2025-12-31 12:06:28,,2012-08-01,150,서울특별시 서대문구 연희동 194번지 30호,3120000-E201200002,3120000,,"서울특별시 서대문구 연희로 82 (연희동, 브라운스톤연희)",03726,01,영업/정상
삼호아파트,,196259.607806599,452003.400133964,2026-04-26 22:31:37,I,18,사용중,서울특별시 서대문구 영천동 100번지,삼호아파트,공공용시설,2025-12-31 12:02:45,,2012-08-01,100,서울특별시 서대문구 영천동 100번지,3120000-E201200004,3120000,,"서울특별시 서대문구 독립문로 10 (영천동, 독립문삼호아파트)",03743,01,영업/정상
오성사우나,,192616.804543873,451914.670305267,2026-04-26 22:31:36,I,18,사용중,서울특별시 서대문구 남가좌동 105번지 1호,오성사우나,공공용시설,2025-12-31 12:15:19,,2012-08-01,92,서울특별시 서대문구 남가좌동 105번지 1호,3120000-E201200005,3120000,,"서울특별시 서대문구 모래내로 143 (남가좌동, 창덕에버빌)",03712,01,영업/정상
가좌역(유출지하수),,192435.79296572,451847.609265534,2026-04-26 22:31:37,I,18,사용중,서울특별시 서대문구 남가좌동 293번지 64호,가좌역(유출지하수),공공용시설,2025-07-29 17:44:06,,2016-05-13,5000,서울특별시 서대문구 남가좌동 293번지 64호,3120000-E201600001,3120000,,"서울특별시 서대문구 수색로 27 (남가좌동, 가좌역)",03715,01,영업/정상
이화여대 E-House,,195287.766418517,451143.789306014,2026-04-26 22:31:37,I,18,사용중,서울특별시 서대문구 대현동 11-1 이화여자대학교,이화여대 E-House,공공용시설,2025-07-29 16:57:04,,2017-05-15,6580,서울특별시 서대문구 대현동 11-1 이화여자대학교,3120000-E201700001,3120000,,"서울특별시 서대문구 이화여대길 52, 이화여자대학교 (대현동)",03760,01,영업/정상
연세대학교 제중학사,,194965.807379888,451499.795008174,2026-04-26 22:31:37,I,18,사용중,서울특별시 서대문구 대신동 70번지,연세대학교 제중학사,공공용시설,2025-07-29 16:57:19,,2017-07-10,4500,서울특별시 서대문구 대신동 70번지,3120000-E201700002,3120000,,,,01,영업/정상
가좌 배수지,2026-04-09,193752.857856085,453450.868618019,2026-04-26 22:31:37,I,19,사용중지,서울특별시 서대문구 홍은동 26번지 133호,가좌 배수지,공공용시설,2026-04-14 17:28:12,2026-04-09,2019-12-26,66,서울특별시 서대문구 홍은동 26번지 133호,3120000-E201900001,3120000,2026-04-09,"서울특별시 서대문구 백련사길 99 (홍은동, 백년약수골)",03656,04,취소/말소/만료/정지/중지
농심(성무관),,192804.463945488,443835.062731234,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 신대방동 370번지 1호,농심(성무관),공공용시설,2025-07-23 14:44:14,,2007-02-20,120,서울특별시 동작구 신대방동 370번지 1호,3190000-E200700004,3190000,,서울특별시 동작구 여의대방로 112 (신대방동),,01,영업/정상
지덕사,,194868.136546524,443859.134564654,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 221번지 8호,지덕사,공공용시설,2025-07-23 15:43:28,,2011-04-19,116,서울특별시 동작구 상도동 221번지 8호,3190000-E201100003,3190000,,서울특별시 동작구 양녕로 167 (상도동),,01,영업/정상
성대정육점,,194310.735363637,443762.031062277,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 279번지 52호,성대정육점,공공용시설,2025-07-23 15:47:45,,2011-04-19,38,서울특별시 동작구 상도동 279번지 52호,3190000-E201100005,3190000,,서울특별시 동작구 성대로10길 55 (상도동),,01,영업/정상
보라매공원-1,,192773.582502032,443386.794683965,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 신대방동 395번지,보라매공원-1,공공용시설,2025-07-23 15:53:58,,2013-01-10,184,서울특별시 동작구 신대방동 395번지,3190000-E201300001,3190000,,"서울특별시 동작구 여의대방로20길 33 (신대방동, 보라매공원)",07062,01,영업/정상
