사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,삭제일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
선한요양보호사교육원,,263546.219540296,484833.369695126,2026-05-14 03:03:03,U,,0,운영,2026-05-13 09:51:51,2025-08-22,강원특별자치도 춘천시 퇴계동 631-3,202565300000040007-20250822,6530000,"강원특별자치도 춘천시 영서로 2261, 4층 (퇴계동)",51110,,01,영업/정상,,,
가인요양보호사교육원,,,,2026-05-14 03:03:03,U,,0,운영,2026-05-13 17:14:46,2026-05-08,경기도 부천시 원미구 상동 531-3 광장프라자,202664100001040015-20260508,6410000,"경기도 부천시 원미구 길주로77번길 19-27, 광장프라자 703호 (상동)",,,01,영업/정상,,,
