사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
도그플래닛,,207875.410635008,408738.652499771,2026-03-31 03:03:03,U,0000,정상,,2026-03-30 13:20:40,,2019-09-05,0,,경기도 화성시 동탄구 방교동 ***-*,577000004920190052,5530000,000,"경기도 화성시 동탄구 동탄기흥로***번나길 **-*, ***호 (방교동)",18487,,01,영업/정상,,,
"아,귀여워",2026-03-25,192442.166477626,401622.970184721,2026-03-31 03:03:03,U,0002,폐업,,2026-03-30 10:34:16,,2023-04-13,0,,경기도 화성시 만세구 향남읍 하길리 ****-*,574000004920230016,5530000,000,"경기도 화성시 만세구 향남읍 한절이*길 *, *층 ***호",18606,,03,폐업,,,
메이드인댕,,211412.651836465,370929.80080022,2026-03-31 03:03:03,U,0000,정상,,2026-03-30 10:45:46,,2022-04-19,0,,충청남도 천안시 서북구 성성동 ***,566000004920220014,4490000,000,"충청남도 천안시 서북구 성성*로 *, *층 ***호 (성성동)",31078,,01,영업/정상,,,
