영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,제이엠(JM)유통,집단급식소 식품판매업,,381044.294319984,193130.449345272,2026-03-31 22:13:30,I,01,영업,33,0,0,0,,,,0,,2026-03-30 11:00:08,2026-03-30,33.00,618-805,부산광역시 강서구 대저1동 317-21 1동 1층 102호,N,,3360000-122-2026-00050,,3360000,"부산광역시 강서구 대저중앙로 385, 1동 1층 102호 (대저1동)",46701,01,영업/정상,집단급식소 식품판매업,,,,
,,드림유통,집단급식소 식품판매업,,378895.17838275,192626.316767806,2026-03-31 22:13:31,I,01,영업,0,,,,,,,,,2026-03-30 11:55:55,2026-03-30,,618-805,부산광역시 강서구 대저1동 1301-30 1층 (102호),N,,3360000-122-2026-00051,,3360000,"부산광역시 강서구 대저로89번가길 50-2, 1층 (102호) (대저1동)",46700,01,영업/정상,집단급식소 식품판매업,,,,
,,필유통,집단급식소 식품판매업,,378895.17838275,192626.316767806,2026-03-31 22:13:31,I,01,영업,0,,,,,,,,,2026-03-30 11:56:43,2026-03-30,,618-805,부산광역시 강서구 대저1동 1301-30 1층 (103호),N,,3360000-122-2026-00052,,3360000,"부산광역시 강서구 대저로89번가길 50-2, 1층 (103호) (대저1동)",46700,01,영업/정상,집단급식소 식품판매업,,,,
,자가,모리나,집단급식소 식품판매업,,203811.08404256,412529.901991526,2026-03-31 21:43:20,I,01,영업,0,,,,,,,,,2026-03-30 10:34:44,2026-03-27,3.30,,경기도 화성시 병점구 병점동 844-5 리더스프라자,N,,5760000-122-2026-00004,,5530000,"경기도 화성시 병점구 효행로 1068, 리더스프라자 603(J214)호 (병점동)",18405,01,영업/정상,집단급식소 식품판매업,,,,
,,(주)올바른유통,집단급식소 식품판매업,2026-03-30,217682.027178983,445443.307212751,2026-03-31 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-30 16:19:54,2021-01-22,267.00,465-090,경기도 하남시 하사창동 348-1,N,,4040000-122-2021-00004,,4040000,"경기도 하남시 춘궁로 94-21, 1,2층 (하사창동)",13019,03,폐업,집단급식소 식품판매업,,,,
,자가,올데이,집단급식소 식품판매업,,366327.09627784,179675.815151603,2026-03-31 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-03-30 09:38:36,2026-03-12,42.90,645-510,경상남도 창원시 진해구 용원동 121-1,N,,5670206-122-2026-00004,,5670000,"경상남도 창원시 진해구 진해대로 2449, 1층 101호 (용원동)",51603,01,영업/정상,집단급식소 식품판매업,,,,
,임대,더에이치컴퍼니,집단급식소 식품판매업,,210785.644240149,434078.469021425,2026-03-31 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-03-30 15:14:11,2026-03-16,8.19,463-840,경기도 성남시 분당구 야탑동 537-6 삼부빌딩303호 미라클비즈니스센터 15-7호,N,,3780000-122-2026-00002,,3780000,"경기도 성남시 분당구 야탑로 32, 삼부빌딩 303 일부호 (야탑동)",13522,01,영업/정상,집단급식소 식품판매업,,,,
,,진주푸드,집단급식소 식품판매업,2026-03-27,297168.037632386,195261.644558604,2026-03-31 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-03-30 14:49:22,2018-04-12,223.59,660-932,경상남도 진주시 집현면 대암리 921 주건축물제3동 1층,N,,5310000-122-2018-00006,,5310000,"경상남도 진주시 집현면 진산로 941, 주건축물제3동 1층",52637,03,폐업,집단급식소 식품판매업,,,,상수도전용
