번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,폐기물처리업구분명,폐기물처리업별처리구분명,폐기물구분명,허용보관량,허용보관량내용,
8,건설폐기물처리업,09_30_05_P,4201000,420100092200800012,2008-08-29,,01,영업/정상,BBBB,영업,,,,,0336556969,,210-340,강원특별자치도 강릉시 대전동 745,강원특별자치도 강릉시 대송길 139-2 (대전동),210-340,(주)기성환경,2026-03-27 16:52:52,U,2026-03-29 02:40:00,,362258.749960987,477289.85373527,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,36374,,
9,건설폐기물처리업,09_30_05_P,4201000,420100092202300003,2023-06-23,,01,영업/정상,BBBB,영업,,,,,6428124,,,강원특별자치도 강릉시 포남동 1147-10,"강원특별자치도 강릉시 경강로2245번안길 2, 2층 (포남동)",25546,우길건설(주),2026-03-27 14:45:27,U,2026-03-29 02:40:00,,368048.073281316,475276.669572777,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0,,
14,건설폐기물처리업,09_30_05_P,3930000,393000092200200001,1996-03-14,,01,영업/정상,BBBB,영업,,,,,0314116815,,425-711,경기도 안산시 단원구 고잔동 518 자유센터 506호~508호 506호,"경기도 안산시 단원구 화랑로 358 (고잔동,자유센터 506호~508호)",15354,(주)동우개발,2026-03-27 17:57:26,U,2026-03-29 02:40:00,,184639.208317913,424346.17696324,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0,,
19,건설폐기물처리업,09_30_05_P,3990000,399000092200700017,2026-03-20,,01,영업/정상,BBBB,영업,,,,,0315290123,,472-835,경기도 남양주시 진건읍 송능리 56-1,경기도 남양주시 진건읍 독정로273번길 71,472-835,(주)방태,2026-03-26 13:50:31,U,2026-03-29 02:40:00,,217702.86082009,464046.633308411,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,52000,,
