번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),용도지역,건물형태구분명,객실수,주택면적,방면적비율,소화기개수,단독경보형감지기개수,자동확산소화기대수,휴대용비상조명등대수,피난구유도등개수,유도표지개수,완강기대수,가스누설경보기대수,일산화탄소감지기대수,조식제공여부,오수처리시설용량,화장실수,화장실종류명,
11,농어촌민박업,03_11_08_P,3930000,AGCV039300002026000007,2026-03-27,,01,영업/정상,1,정상,,,,,,560.8,425-310,경기도 안산시 단원구 선감동 702,경기도 안산시 단원구 참살이3길 15 (선감동),15651,프렌즈펜션,2026-03-27 14:55:52,I,2026-03-29 00:20:01,,166675.847500056,414447.693606055,자연녹지지역,,2,213.2,0,5,9,2,8,0,3,0,2,2,,8,3,,
18,농어촌민박업,03_11_08_P,4181000,AGCV041810002022000067,2022-12-20,,03,폐업,3,폐업,2026-03-26,,,,,169,,강원특별자치도 춘천시 남산면 백양리 190,강원특별자치도 춘천시 남산면 서백길 707-3,24464,남이섬설리조트3,2026-03-27 13:44:08,U,2026-03-29 02:40:00,,251185.517081279,477196.168209274,계획관리지역,,3,221.24,0,3,3,0,3,1,3,0,0,0,,0,4,,
19,농어촌민박업,03_11_08_P,4181000,AGCV041810002023000018,2023-02-27,,03,폐업,3,폐업,2026-03-26,,,,,470,,,강원특별자치도 춘천시 남산면 서백길 707-2,24464,남이섬설리조트2,2026-03-27 13:44:15,U,2026-03-29 02:40:00,,,,계획관리지역,,3,222.74,0,6,6,0,6,0,6,0,0,0,,0,0,,
41,농어촌민박업,03_11_08_P,4181000,AGCV041810002025000047,2025-09-23,,03,폐업,3,폐업,2026-03-26,,,,,213,,강원특별자치도 춘천시 남산면 백양리 192-17,강원특별자치도 춘천시 남산면 서백길 707-7,24464,남이섬설리조트4,2026-03-27 13:43:59,U,2026-03-29 02:40:00,,251212.733372859,477231.328615635,계획관리지역,,3,198.3,0,3,3,0,3,1,0,0,0,0,,0,0,,
