번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명,상세업무구분명,권리주체일련번호,총직원수,
2,동물약국,02_03_02_P,3090000,309000001120260002,2026-03-27,,01,영업/정상,0000,정상,,,,,02-3492-2828,,,서울특별시 도봉구 방학동 670-2,"서울특별시 도봉구 방학로 169, 1층 (방학동)",01384,사랑약국,2026-03-27 14:49:40,I,2026-03-29 00:20:01,,202878.778399507,462193.498927906,동물약국,,000,0,
5,동물약국,02_03_02_P,3990000,399000001120260007,2026-03-27,,01,영업/정상,0000,정상,,,,,031-555-1365,,,경기도 남양주시 다산동 6056 다산역 데시앙,"경기도 남양주시 다산중앙로 132, 다산역 데시앙 3층 318호 일부호 (다산동)",12285,3층맑은약국,2026-03-27 13:22:16,I,2026-03-29 00:20:01,,213465.986919386,458131.768703582,동물약국,,000,0,
7,동물약국,02_03_02_P,3200000,320000001120260002,2026-03-27,,01,영업/정상,0000,정상,,,,,,,,서울특별시 관악구 봉천동 1634-9,서울특별시 관악구 봉천로 616 (봉천동),08793,새태평양온누리약국,2026-03-27 09:40:12,I,2026-03-29 00:20:01,,196874.021007896,441472.976437308,동물약국,,000,0,
8,동물약국,02_03_02_P,3230000,323000001120240002,2024-02-20,,03,폐업,0002,폐업,2026-03-27,,,,,0,,서울특별시 송파구 잠실동 35-2 트리지움,"서울특별시 송파구 석촌호수로 61, 트리지움 5층 514-2호 (잠실동)",05555,트리지움자연약국,2026-03-27 17:38:01,U,2026-03-29 02:40:00,,207553.918225133,445383.338011122,동물약국,,000,0,
9,동물약국,02_03_02_P,3130000,313000001120250003,2025-03-14,,03,폐업,0002,폐업,2026-03-15,,,,0507-1384-7841,0,,서울특별시 마포구 아현동 402 삼성래미안공덕2차,"서울특별시 마포구 만리재옛길 101-1, 삼성래미안공덕2차 상가2동 102호 (아현동)",04202,참약사유명약국,2026-03-27 11:39:41,U,2026-03-29 02:40:00,,196535.062549459,449909.702771502,동물약국,,000,0,
10,동물약국,02_03_02_P,3240000,324000001120130005,2013-06-11,,01,영업/정상,0000,정상,,,,,02-476-8100,0,,서울특별시 강동구 길동 378-11,서울특별시 강동구 양재대로 1479(길동),05342,시민당약국,2026-03-27 15:03:14,U,2026-03-29 02:40:00,,212286.238530692,448434.305272452,동물약국,,000,0,
