번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,욕실수,발한실여부,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,다중이용업소여부,
1,목욕장업,11_44_01_P,3940000,4100100-202-2026-00001,2026-03-09,,01,영업/정상,01,영업,,,,,,2051.15,411-410,"경기도 고양시 일산서구 대화동 2606 고양 원마운트 W201(일부),W801(일부)호","경기도 고양시 일산서구 한류월드로 300, 고양 원마운트 W201(일부),W801(일부)호 (대화동)",10392,원마운트 찜질스파,2026-03-27 14:42:32,U,2026-03-29 02:40:00,공동탕업+찜질시설서비스영업,178268.135568909,462480.734362689,공동탕업+찜질시설서비스영업,0,0,0,0,0,0,2,Y,,,,,0,0,Y,
5,목욕장업,11_44_01_P,4060000,4060000-202-1980-08003,1980-06-09,,01,영업/정상,01,영업,,,,,9594347,625.41,413-911,경기도 파주시 적성면 구읍리 645-1 승원장,"경기도 파주시 적성면 칠중5길 8, 승원장",10803,승원24시사우나,2026-03-27 10:51:01,U,2026-03-29 02:40:00,공동탕업,193001.865273559,494692.520771746,공동탕업,0,0,0,0,0,0,2,Y,,,,,0,0,N,
