건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,(주)은하수엔터테인먼트,2020-03-25,206324.116092316,449420.23835582,,영화수입업,2026-05-03 22:30:22,I,03,폐업,,,2011-05-06,,2020-03-25 17:15:42,,2011-05-06,,서울특별시 광진구 화양동 ***-**,CDFF5211022011000001,3040000,,"서울특별시 광진구 능동로**길 **-*, *층 (화양동)",05009,03,폐업,,,,,,
,레이크엔터테인먼트(Lake Entertainment LTD),2020-08-14,208027.52542955,448432.538599618,,영화수입업,2026-05-03 22:30:22,I,03,폐업,,,2018-03-15,,2020-08-14 13:10:28,,2018-03-15,,서울특별시 광진구 구의동 ***-**,CDFF5211022018000002,3040000,,"서울특별시 광진구 아차산로 ***-*, *층 ***B호 (구의동)",05047,03,폐업,,,,,,
,디에이치 컴퍼니,2025-12-10,208568.939233791,448921.321944575,,영화수입업,2026-05-03 22:30:22,I,03,폐업,,,2019-07-10,,2025-12-11 08:18:24,,2019-07-10,,서울특별시 광진구 광장동 *** 현대아파트 ***동 ****호,CDFF5211022019000002,3040000,,"서울특별시 광진구 아차산로**길 **, ***동 ****호 (광장동, 현대아파트)",04984,03,폐업,,,,,,
