건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,,강화선진버스(주),,2010-12-15,200000000,154479.254983475,469468.244613982,관광사업,관광순환버스업,2026-05-03 22:36:14,I,03,폐업,,,,,,,,,,,2010-12-22 15:46:32,,2007-07-10,417-823,인천광역시 강화군 선원면 창리 587,CDFI3261052007000001,3570000,,,,03,폐업,,,,,,,,,,,,
,,강화선진버스 주식회사,,2018-12-31,200000000,154479.254983475,469468.244613982,,관광순환버스업,2026-05-03 22:36:14,I,03,폐업,,,,,,,,,,,2019-01-21 11:12:04,,2018-03-20,,인천광역시 강화군 선원면 창리 587 선진버스(주)강화지점,CDFI3261052018000001,3570000,,"인천광역시 강화군 선원면 중앙로 219, 선진버스(주)강화지점",23041,03,폐업,,,,,,,032-934-9105,,,,,
,,인천관광공사,,,52029900900,169347.622511638,431201.100992673,,관광순환버스업,2026-05-03 22:37:36,I,13,영업중,,,,,,,,,,,2019-03-29 13:06:37,,2019-03-29,,인천광역시 연수구 송도동 7-50 미추홀타워(본관),CDFI3261052019000001,3520000,,"인천광역시 연수구 갯벌로 12, 미추홀타워(본관) 16층 (송도동)",21999,01,영업/정상,,,,,,,,,,,,
,,강서관광(주),,,,172928.774290132,439492.979223401,,관광순환버스업,2026-05-03 22:37:54,I,13,영업중,Circular tour bus business,"Kang Seo Tour CO., LTD.",,,,,,,,,2020-04-02 14:53:21,,2008-03-05,,인천광역시 남동구 간석동 901 동우빌딩,CDFI3261052008000001,3530000,,"인천광역시 남동구 구월로 42, 동우빌딩 301, 302호 (간석동)",21553,01,영업/정상,,,,,,,032-434-0003,,,,,
,,뉴스타관광(주),,,232560000,176558.785951112,438430.081564495,,관광순환버스업,2026-05-03 22:37:54,I,13,영업중,,,,,,,,,,,2025-06-11 09:13:02,,2025-06-11,,인천광역시 남동구 만수동 1073-7 흥농빌딩,CDFI3261052025000001,3530000,,"인천광역시 남동구 인주대로888번길 10, 흥농빌딩 202호 (만수동)",21591,01,영업/정상,,,,,,,,,,,,
