축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물보관업,(주)에스피씨지에프에스 덕평물류센터,,,230739.115006368,419543.252247368,2026-04-07 03:03:03,U,0000,정상,2026-04-06 09:55:20,,2015-11-21,5860,,경기도 광주시 도척면 방도리 3-4,554000000720150006,5540000,L00,경기도 광주시 도척면 마도로 5,12818,,01,영업/정상,,,
,축산물보관업,(주)에스피씨 지에프에스,,,230283.795785796,423680.685921788,2026-04-07 03:03:03,U,0000,정상,2026-04-06 09:59:48,,2019-05-30,0,,경기도 광주시 도척면 진우리 1005-1,554000000720190003,5540000,L00,"경기도 광주시 도척면 도척로 401-85, 1, 2, 3층",12814,,01,영업/정상,,,
,축산물보관업,(주)에스피씨지에프에스 포천물류센터,,,,,2026-04-08 03:03:03,U,0000,정상,2026-04-07 09:14:03,,2025-07-02,6125.21,,경기도 포천시 가산면 마산리 7-5,560000000720250001,5600000,L00,경기도 포천시 가산면 포천로898번길 109-67,11164,,01,영업/정상,,,031-542-8260
,축산물보관업,롯데웰푸드(주) 평택공장,,,205787.798224382,401787.338893574,2026-04-10 03:03:03,U,0000,정상,2026-04-09 13:24:39,,2017-09-11,2766,,경기도 평택시 진위면 가곡리 538-3 롯데제과(주)평택공장,391000000720170002,3910000,L00,경기도 평택시 진위면 경기대로 1952,17713,,01,영업/정상,,,
