사업장명,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
농업기반공사,,정부기관 일반 보조 행정,,198594.096666667,432271.539,2026-05-15 21:52:21,I,4,폐쇄,분뇨등설계시공업관리,2017-07-18 14:52:19,2003-02-08,437-703,경기도 의왕시 포일동 487,403000054200000001,4030000,경기도 의왕시 안양판교로 98  (포일동),,,03,폐업,,,,정부기관 일반 보조 행정
농버기반공사,,,,198594.096666667,432271.539,2026-05-15 21:52:21,I,4,폐쇄,분뇨등설계시공업관리,2017-07-18 14:51:46,2004-03-30,437-830,경기도 의왕시 포일동 487,403000054200000002,4030000,경기도 의왕시 안양판교로 98  (포일동),,,03,폐업,,,031-420-3321,
