영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,주식회사 약손명가헬스케어,건강기능식품유통전문판매업,,205522.444399958,448947.337115568,2026-05-15 22:13:31,I,01,영업,344.13,,,,,,,,,2026-05-14 15:14:46,2021-11-05,344.13,133-832,서울특별시 성동구 성수동*가 ***-** ALL ABOUT K* KOREA 성수사거리점,N,,3030000-135-2021-00026,,3030000,"서울특별시 성동구 성수이로**길 **, ALL ABOUT K* KOREA 성수사거리점 *층 (성수동*가)",04798,01,영업/정상,건강기능식품유통전문판매업,02-518-0408,,,
,,주식회사 큐롬바이오사이언스,건강기능식품유통전문판매업,2026-05-14,204289.170121015,421173.32793178,2026-05-15 03:03:03,U,02,폐업,0,,,,,,,,,2026-05-14 11:12:22,2022-02-21,,443-270,경기도 수원시 영통구 이의동 **** 광교스타힐스 오피스텔 ***호,N,,3740000-135-2022-00003,,3740000,"경기도 수원시 영통구 센트럴타운로 ***, 광교스타힐스 오피스텔 ***호 (이의동)",16507,03,폐업,건강기능식품유통전문판매업,,,,
,,주식회사 한가한,건강기능식품유통전문판매업,,205014.436191811,448961.208329966,2026-05-15 03:03:03,U,01,영업,0,,,,,,,,,2026-05-14 09:53:52,2025-03-14,4.95,133-831,서울특별시 성동구 성수동*가 ***-** 우리큐브,N,,3030000-135-2025-00001,,3030000,"서울특별시 성동구 연무장**길 **, 우리큐브 *층 ***A호 (성수동*가)",04783,01,영업/정상,건강기능식품유통전문판매업,,,,
