영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,주식회사 초재,집단급식소 식품판매업,,170056.260116712,444833.97399983,2026-05-15 22:43:21,I,01,영업,11,,,,,,,,,2026-05-14 18:01:36,2026-05-14,11.00,404-825,인천광역시 서구 석남동 223-193,N,,3560000-122-2026-00014,,3560000,"인천광역시 서구 봉수대로 330, 2동 2층 일부호 (석남동)",22793,01,영업/정상,집단급식소 식품판매업,,,,
,자가,가나푸드서비스,집단급식소 식품판매업,,170056.260116712,444833.97399983,2026-05-15 22:43:21,I,01,영업,0,,,,,,,,,2026-05-14 18:05:00,2026-05-14,8.14,404-825,인천광역시 서구 석남동 223-193 2동 2층 일부호,N,,3560000-122-2026-00015,,3560000,"인천광역시 서구 봉수대로 330, 2동 2층 일부호 (석남동)",22793,01,영업/정상,집단급식소 식품판매업,,,,
,임대,주식회사 대가,집단급식소 식품판매업,,217671.928597273,456661.368840271,2026-05-15 21:13:19,I,01,영업,0,,,,,,,,,2026-05-14 17:08:31,2026-05-14,105.00,472-926,경기도 남양주시 이패동 232 주3동,N,,3990000-122-2026-00008,,3990000,"경기도 남양주시 양정로219번길 103-7, 주3동 (이패동)",12246,01,영업/정상,집단급식소 식품판매업,,,,
,자가,글로벌유통,집단급식소 식품판매업,,256290.371152252,441544.540050488,2026-05-15 21:43:20,I,01,영업,0,,,,,,,,,2026-05-14 10:59:12,2026-05-14,3.65,476-874,경기도 양평군 지평면 지평리 571-4,N,,4170000-122-2026-00005,,4170000,"경기도 양평군 지평면 지평시장2길 8, 1층 h83호",12541,01,영업/정상,집단급식소 식품판매업,,,,
,임대,믿음푸드,집단급식소 식품판매업,2026-05-14,204019.432718311,418228.373726815,2026-05-15 03:03:03,U,02,폐업,0,,,,,,,,,2026-05-14 15:07:12,2022-01-24,23.98,443-802,경기도 수원시 영통구 매탄동 208-56 103호,N,,3740000-122-2022-00002,,3740000,"경기도 수원시 영통구 매탄로178번길 8, 1층 103호 (매탄동)",16539,03,폐업,집단급식소 식품판매업,,,,상수도전용
