사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
연경기초소재(주) 화성2공장,1438503543,5종,비금속류 원료 재생업,2026-05-22,171880.028735572,407779.998611954,2026-05-25 03:03:03,U,4,폐쇄,,8,대기배출업소관리,2026-05-24 11:51:04,2024-12-26,,경기도 화성시 만세구 서신면 장외리 404-6,553000021202400201,5530000,,300,,경기도 화성시 만세구 서신면 제부로654번길 20-41,18553,,04,취소/말소/만료/정지/중지,,,031-357-5745,비금속류 원료 재생업
진우드 인테리어,2140854417,4종,기타 목재가구 제조업,,228548.072498147,425692.851479735,2026-05-25 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-05-24 16:05:30,2022-03-29,,경기도 광주시 도척면 궁평리 201,554000021202200009,5540000,인테리어 가구,300,,경기도 광주시 도척면 다람로36번길 31-23,12810,,01,영업/정상,,,,기타 목재가구 제조업
에이치엘비글로벌(주),1218524363,4종,모래 및 자갈 채취업,,165558.25649003,436644.095102406,2026-05-25 03:03:03,U,11,영업,330,8,대기배출업소관리,2026-05-24 22:10:28,2021-12-30,,인천광역시 중구 항동7가 114,349000021202100009,3490000,세척사,330,,인천광역시 중구 서해대로 17 (항동7가),22342,,01,영업/정상,,,,모래 및 자갈 채취업
