번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,
1,영화제작업,03_13_05_P,3230000,CDFF5211012026000004,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 방이동 **-* 잠실 더클래스원,"서울특별시 송파구 오금로**길 **, 잠실 더클래스원 *층 ***호 (방이동)",05545,주식회사 제하스튜디오,2026-03-27 17:07:26,I,2026-03-29 00:20:01,,209986.87509455,445892.517592341,영화제작업,,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,20260327,,
2,영화제작업,03_13_05_P,3210000,CDFF5211012026000013,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 잠원동 **-* 덕성빌딩,"서울특별시 서초구 반포대로 ***, 덕성빌딩 지하*층 *-*(씨-**호실)호 (잠원동)",06509,주식회사 그로브프로젝트,2026-03-27 09:14:03,I,2026-03-29 00:20:01,,200034.774429913,444859.952204046,영화제작업,,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,20260327,,
4,영화제작업,03_13_05_P,3940000,CDFF5211012026000026,2009-05-29,,01,영업/정상,13,영업중,,,,,,,,경기도 고양시 덕양구 덕은동 ***,"경기도 고양시 덕양구 청초로 **, AA**-****호 (덕은동)",10542,미씽링크,2026-03-27 15:29:17,I,2026-03-29 00:20:01,,,,영화제작업,,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,20090529,,
5,영화제작업,03_13_05_P,4090000,CDFF5211012026000005,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,경기도 김포시 고촌읍 신곡리 **** 스카이스퀘어 *,"경기도 김포시 고촌읍 고송로 *, 스카이스퀘어 * *동 *층 ***호*-C*호",10126,주식회사 케이영상,2026-03-27 15:51:31,I,2026-03-29 00:20:01,,179454.044658725,455712.870130658,영화제작업,,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,20260327,,
6,영화제작업,03_13_05_P,3830000,CDFF5211012026000001,2026-01-22,,01,영업/정상,13,영업중,,,,,,,,경기도 안양시 동안구 관양동 ****-* 아이퍼스트타워 *층 ***-*호,"경기도 안양시 동안구 흥안대로 ***, 아이퍼스트타워 *층 ***-*호 (관양동)",13951,주식회사 피이즈에프,2026-03-27 08:33:13,U,2026-03-29 02:40:00,,197818.111875523,433137.578437473,영화제작업,,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,20260122,,
7,영화제작업,03_13_05_P,3940000,CDFF5211012025000024,2025-07-14,,01,영업/정상,13,영업중,,,,,,,,경기도 고양시 덕양구 덕은동 ***,"경기도 고양시 덕양구 청초로 **, 지엘메트로시티한강 B동 BB**-****호 (덕은동)",10542,주식회사 망그로브,2026-03-27 17:07:21,U,2026-03-29 02:40:00,,,,영화제작업,,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,20250714,,
8,영화제작업,03_13_05_P,3130000,CDFF5211012021000001,2021-01-04,,03,폐업,03,폐업,2026-03-26,,,,,,,서울특별시 마포구 동교동 ***-* 동교동 선영빌딩,"서울특별시 마포구 신촌로**길 **-*, 동교동 선영빌딩 ***호 (동교동)",04057,콩미디어,2026-03-27 11:17:03,U,2026-03-29 02:40:00,,193902.510555687,450401.121412568,영화제작업,,0,,,0,0,0,,0,0,0,0,,,,,,,,,,,,0,,,,,20210104,,
